metric,event_time,ciclo_idx,observado,sintetico,gap,cell_id,marca_std,subcategoria,faixa_preco
gmv,-8,10,5883.77,6983.840219207652,-1100.0702192076515,Eudora|Máscara|P1,Eudora,Máscara,P1
gmv,-7,11,3111.73,3858.7545610121983,-747.0245610121983,Eudora|Máscara|P1,Eudora,Máscara,P1
gmv,-6,12,5996.27,6082.13718899608,-85.86718899607968,Eudora|Máscara|P1,Eudora,Máscara,P1
gmv,-5,13,5076.41,5598.826799215218,-522.4167992152179,Eudora|Máscara|P1,Eudora,Máscara,P1
gmv,-4,14,8421.02,8432.983882210334,-11.963882210333395,Eudora|Máscara|P1,Eudora,Máscara,P1
gmv,-3,15,7070.360000000001,6858.470679536107,211.88932046389345,Eudora|Máscara|P1,Eudora,Máscara,P1
gmv,-2,16,13886.89,12368.589111243424,1518.3008887565757,Eudora|Máscara|P1,Eudora,Máscara,P1
gmv,-1,17,3967.87,3900.0703328311456,67.79966716885428,Eudora|Máscara|P1,Eudora,Máscara,P1
gmv,0,18,3312.25,3430.1945183250327,-117.94451832503273,Eudora|Máscara|P1,Eudora,Máscara,P1
gmv,1,19,3475.2200000000003,4199.819425397995,-724.5994253979943,Eudora|Máscara|P1,Eudora,Máscara,P1
gmv,2,20,5555.55,6275.2743044196,-719.7243044196002,Eudora|Máscara|P1,Eudora,Máscara,P1
gmv,3,21,7032.05,5967.883295550373,1064.166704449627,Eudora|Máscara|P1,Eudora,Máscara,P1
gmv,4,22,7160.0,8108.391594871947,-948.3915948719468,Eudora|Máscara|P1,Eudora,Máscara,P1
gmv,5,23,2479.12,2746.3188529319873,-267.1988529319874,Eudora|Máscara|P1,Eudora,Máscara,P1
gmv,6,24,5184.88,5368.530586911055,-183.65058691105514,Eudora|Máscara|P1,Eudora,Máscara,P1
gmv,7,25,4133.93,3780.5909356001685,353.33906439983184,Eudora|Máscara|P1,Eudora,Máscara,P1
gmv,8,26,3833.2000000000003,4129.259685174762,-296.05968517476185,Eudora|Máscara|P1,Eudora,Máscara,P1
gmv,9,27,5566.43,6294.840587817364,-728.4105878173641,Eudora|Máscara|P1,Eudora,Máscara,P1
gmv,10,28,4226.44,3249.18936565387,977.2506343461296,Eudora|Máscara|P1,Eudora,Máscara,P1
gmv,11,29,4871.17,4135.549759273114,735.6202407268856,Eudora|Máscara|P1,Eudora,Máscara,P1
gmv,12,30,5166.94,5237.248876828966,-70.30887682896628,Eudora|Máscara|P1,Eudora,Máscara,P1
gmv,-8,20,22439.83,17841.75601340494,4598.07398659506,Eudora|Máscara|P3,Eudora,Máscara,P3
gmv,-7,21,15698.37,18478.41558492007,-2780.045584920068,Eudora|Máscara|P3,Eudora,Máscara,P3
gmv,-6,22,18925.29,21615.388296957764,-2690.0982969577635,Eudora|Máscara|P3,Eudora,Máscara,P3
gmv,-5,23,9506.5,9007.800280152538,498.6997198474619,Eudora|Máscara|P3,Eudora,Máscara,P3
gmv,-4,24,16482.0,17407.938473467148,-925.9384734671476,Eudora|Máscara|P3,Eudora,Máscara,P3
gmv,-3,25,13431.8,11450.698657276296,1981.101342723703,Eudora|Máscara|P3,Eudora,Máscara,P3
gmv,-2,26,11803.6,12655.339265326802,-851.7392653268016,Eudora|Máscara|P3,Eudora,Máscara,P3
gmv,-1,27,19932.16,18447.551897741283,1484.6081022587168,Eudora|Máscara|P3,Eudora,Máscara,P3
gmv,0,28,9520.66,9439.94918313002,80.71081686997968,Eudora|Máscara|P3,Eudora,Máscara,P3
gmv,1,29,14929.75,12714.98611099276,2214.7638890072394,Eudora|Máscara|P3,Eudora,Máscara,P3
gmv,2,30,17259.5,15913.530855068946,1345.969144931054,Eudora|Máscara|P3,Eudora,Máscara,P3
gmv,3,31,27789.420000000002,23386.60025519167,4402.81974480833,Eudora|Máscara|P3,Eudora,Máscara,P3
gmv,4,32,14886.14,17104.33703862009,-2218.197038620092,Eudora|Máscara|P3,Eudora,Máscara,P3
gmv,5,33,22073.45,24103.463851526907,-2030.0138515269064,Eudora|Máscara|P3,Eudora,Máscara,P3
gmv,6,34,7274.75,8678.146358291304,-1403.3963582913038,Eudora|Máscara|P3,Eudora,Máscara,P3
gmv,7,35,9178.25,9480.507234430217,-302.25723443021707,Eudora|Máscara|P3,Eudora,Máscara,P3
