id_projeto,cod_sku_lancamento,tickets_com_lancamento,tickets_sozinho,tickets_com_incumbente_nicho,share_sozinho,share_com_incumbente_nicho
PROJ_2024_01,SKU_120,4104,257,671,0.06262183235867447,0.16349902534113062
PROJ_2024_02,SKU_094,1501,89,52,0.059293804130579615,0.034643570952698204
PROJ_2024_03,SKU_124,1862,111,181,0.059613319011815255,0.09720730397422127
PROJ_2024_04,SKU_114,1364,76,194,0.05571847507331378,0.14222873900293256
PROJ_2024_05,SKU_055,1318,85,166,0.06449165402124431,0.125948406676783
PROJ_2024_06,SKU_006,1913,127,121,0.06638787245164662,0.06325143753267119
PROJ_2024_07,SKU_040,1928,119,175,0.061721991701244816,0.09076763485477178
PROJ_2024_08,SKU_070,1271,66,105,0.05192761605035405,0.08261211644374508
PROJ_2024_09,SKU_085,5204,346,584,0.06648731744811684,0.11222136817832437
PROJ_2024_10,SKU_008,2703,144,362,0.05327413984461709,0.13392526822049575
PROJ_2024_11,SKU_081,1704,120,60,0.07042253521126761,0.035211267605633804
PROJ_2024_12,SKU_059,1208,66,113,0.054635761589403975,0.0935430463576159
PROJ_2025_01,SKU_019,1221,79,39,0.0647010647010647,0.03194103194103194
PROJ_2025_02,SKU_089,813,50,80,0.06150061500615006,0.0984009840098401
PROJ_2025_03,SKU_102,1873,101,163,0.05392418579818473,0.08702616123865456
PROJ_2025_04,SKU_095,1954,121,125,0.06192425793244626,0.06397134083930399
PROJ_2025_05,SKU_108,4458,253,0,0.056751906684611934,0.0
PROJ_2025_06,SKU_092,2605,157,101,0.06026871401151632,0.03877159309021113
PROJ_2025_07,SKU_082,2422,142,179,0.058629232039636665,0.07390586292320396
PROJ_2025_08,SKU_039,1627,99,141,0.06084818684695759,0.08666256914566688
PROJ_2025_09,SKU_118,1667,100,218,0.059988002399520096,0.1307738452309538
PROJ_2025_10,SKU_083,2647,162,233,0.0612013600302229,0.08802417831507367
PROJ_2025_11,SKU_053,817,47,102,0.05752753977968176,0.12484700122399021
PROJ_2025_12,SKU_119,4753,276,740,0.05806858826004629,0.15569114243635598
PROJ_2025_13,SKU_112,2051,108,63,0.05265724037055095,0.030716723549488054
